cancer,model,rank,gene,base_cindex,mean_drop,std_drop
BRCA,VAECox,7,JRKL,0.7634,0.00075,0.00056
BRCA,VAECox,8,ZNF596,0.7634,0.00075,0.00021
BRCA,VAECox,9,PIWIL4,0.7634,0.00075,0.00056
BRCA,VAECox,10,C14orf109,0.7634,0.00075,0.00021
BRCA,VAECox,11,C10orf140,0.7634,0.00075,0.00021
BRCA,VAECox,12,MSI1,0.7634,0.0006,0.00042
BRCA,VAECox,13,OXGR1,0.7634,0.0006,0.00021
BRCA,VAECox,14,SFRS2B,0.7634,0.0006,0.00021
BRCA,VAECox,15,C11orf36,0.7634,0.0006,0.00021
BRCA,VAECox,16,CLDN12,0.7634,0.0006,0.00021
BRCA,VAECox,17,MBOAT7,0.7634,0.0006,0.00021
BRCA,VAECox,18,BLVRA,0.7634,0.0006,0.00021
BRCA,VAECox,19,ID2B,0.7634,0.0006,0.00056
BRCA,VAECox,20,PRB2,0.7634,0.0006,0.00056
BRCA,VAECox,21,SAPS2,0.7634,0.0006,0.00021
BRCA,VAECox,22,TTC39C,0.7634,0.0006,0.00021
BRCA,VAECox,23,PDZD11,0.7634,0.00045,0.00037
BRCA,VAECox,24,WFS1,0.7634,0.00045,0.0
BRCA,VAECox,25,CLCNKB,0.7634,0.00045,0.00037
HNSC,CoxRidge,1,TBC1D16,0.6442,0.0024,0.00041
HNSC,CoxRidge,2,PHACTR4,0.6442,0.00218,0.00041
HNSC,CoxRidge,3,PCDHGA4,0.6442,0.00218,0.00108
HNSC,CoxRidge,4,KAZALD1,0.6442,0.00196,0.00053
HNSC,CoxRidge,5,LXN,0.6442,0.00196,0.00046
HNSC,CoxRidge,6,GPBP1,0.6442,0.00185,0.00015
HNSC,CoxRidge,7,C7orf46,0.6442,0.00185,0.00111
HNSC,CoxRidge,8,S100A7A,0.6442,0.00174,0.00041
HNSC,CoxRidge,9,C9orf89,0.6442,0.00174,0.00101
HNSC,CoxRidge,10,LOC723972,0.6442,0.00164,0.00122
HNSC,CoxRidge,11,EXD1,0.6442,0.00164,0.00071
HNSC,CoxRidge,12,CECR7,0.6442,0.00153,0.00056
HNSC,CoxRidge,13,HOXA9,0.6442,0.00153,0.00062
HNSC,CoxRidge,14,SPDYE6,0.6442,0.00153,0.00077
HNSC,CoxRidge,15,ASAH1,0.6442,0.00142,0.00041
HNSC,CoxRidge,16,TMEM196,0.6442,0.00142,0.00062
HNSC,CoxRidge,17,VIPAR,0.6442,0.00142,0.00015
HNSC,CoxRidge,18,IGFL4,0.6442,0.00131,0.00046
HNSC,CoxRidge,19,ISG20L2,0.6442,0.00131,0.00053
HNSC,CoxRidge,20,KIF3B,0.6442,0.00131,0.00096
HNSC,CoxRidge,21,SLAMF7,0.6442,0.00131,0.00071
HNSC,CoxRidge,22,OXGR1,0.6442,0.00109,0.00077
HNSC,CoxRidge,23,KCNS1,0.6442,0.00109,0.00062
HNSC,CoxRidge,24,OR5E1P,0.6442,0.00098,0.00027
HNSC,CoxRidge,25,DEM1,0.6442,0.00098,0.00027
HNSC,VAECox,1,C2orf84,0.5919,0.00109,0.00015
HNSC,VAECox,2,ZNF266,0.5919,0.00109,0.00015
HNSC,VAECox,3,CYP4A11,0.5919,0.00098,0.00027
HNSC,VAECox,4,PHOSPHO1,0.5919,0.00098,0.00027
HNSC,VAECox,5,ALAD,0.5919,0.00087,0.00041
HNSC,VAECox,6,ZNF662,0.5919,0.00087,0.00031
HNSC,VAECox,7,QRSL1,0.5919,0.00087,0.00041
HNSC,VAECox,8,KCNMB2,0.5919,0.00076,0.00041
HNSC,VAECox,9,SNORA11,0.5919,0.00076,0.00015
HNSC,VAECox,10,ACCN5,0.5919,0.00076,0.00056
HNSC,VAECox,11,CKS2,0.5919,0.00076,0.00015
HNSC,VAECox,12,LRRC16B,0.5919,0.00065,0.0
HNSC,VAECox,13,TBL1X,0.5919,0.00065,0.00027
HNSC,VAECox,14,GAL3ST3,0.5919,0.00065,0.0
HNSC,VAECox,15,ANKRD53,0.5919,0.00065,0.00053
HNSC,VAECox,16,KRTAP1-1,0.5919,0.00065,0.00027
HNSC,VAECox,17,TAAR8,0.5919,0.00065,0.00027
HNSC,VAECox,18,FAM41AY1,0.5919,0.00055,0.00056
HNSC,VAECox,19,CATSPER3,0.5919,0.00055,0.00031
HNSC,VAECox,20,C16orf58,0.5919,0.00055,0.00056
HNSC,VAECox,21,LOC284100,0.5919,0.00055,0.00031
HNSC,VAECox,22,TM6SF1,0.5919,0.00055,0.00031
HNSC,VAECox,23,GABRA3,0.5919,0.00055,0.00031
HNSC,VAECox,24,PBX3,0.5919,0.00055,0.00015
HNSC,VAECox,25,LOC723972,0.5919,0.00055,0.00015
