model,BLCA,BRCA,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,Mean
CoxLasso,0.6276,0.6998,0.639,0.7316,0.8152,0.7034,0.6078,0.5009,0.5897,0.515,0.643
CoxMLP,0.6508,0.6789,0.6048,0.7308,0.815,0.688,0.643,0.5099,0.5734,0.5158,0.6410399999999999
CoxRidge,0.6297,0.6894,0.6228,0.7274,0.8097,0.6969,0.6079,0.5026,0.5803,0.5111,0.63778
Coxnnet,0.6496,0.7143,0.6084,0.7531,0.7957,0.7206,0.6268,0.4756,0.5847,0.5296,0.64584
VAECox,0.6547,0.6932,0.6143,0.7273,0.8216,0.7267,0.6436,0.487,0.5948,0.5158,0.6478999999999999
