cancer,model,variable,group,n_seeds,mean_n,mean_cindex,std_cindex
LGG,VAECox,subtype,Astrocytoma,10,40,0.8037,0.0573
LGG,VAECox,subtype,Oligodendroglioma,10,35,0.7845,0.0773
LGG,VAECox,subtype,Oligoastrocytoma,10,26,0.7607,0.142
LIHC,CoxRidge,age_group,<=50,8,15,0.6836,0.0773
LIHC,CoxRidge,age_group,51-65,10,32,0.674,0.1019
LIHC,CoxRidge,age_group,>65,10,26,0.7104,0.075
LIHC,CoxRidge,sex,FEMALE,10,24,0.6269,0.0905
LIHC,CoxRidge,sex,MALE,10,49,0.7188,0.0649
LIHC,CoxRidge,stage,Early (I-II),10,52,0.6648,0.0653
LIHC,CoxRidge,stage,Late (III-IV),10,16,0.6765,0.0465
LIHC,CoxRidge,subtype,Hepatocellular Carcinoma,10,70,0.698,0.0519
LIHC,VAECox,age_group,<=50,8,15,0.7377,0.0796
LIHC,VAECox,age_group,51-65,10,32,0.6965,0.0973
LIHC,VAECox,age_group,>65,10,26,0.7156,0.0839
LIHC,VAECox,sex,FEMALE,10,24,0.6713,0.1108
LIHC,VAECox,sex,MALE,10,49,0.7477,0.0543
LIHC,VAECox,stage,Early (I-II),10,52,0.6962,0.042
LIHC,VAECox,stage,Late (III-IV),10,16,0.6882,0.0895
LIHC,VAECox,subtype,Hepatocellular Carcinoma,10,70,0.7168,0.0385
LUAD,CoxRidge,age_group,51-65,10,38,0.6153,0.0693
LUAD,CoxRidge,age_group,>65,10,52,0.604,0.0574
LUAD,CoxRidge,age_group,<=50,3,11,0.4962,0.1101
LUAD,CoxRidge,sex,MALE,10,47,0.6024,0.0867
LUAD,CoxRidge,sex,FEMALE,10,53,0.5976,0.0618
LUAD,CoxRidge,stage,Early (I-II),10,76,0.5812,0.0754
LUAD,CoxRidge,stage,Late (III-IV),10,23,0.6092,0.0724
LUAD,CoxRidge,subtype,Lung Adenocarcinoma- Not Otherwise Specified (NOS),10,63,0.6123,0.0255
LUAD,CoxRidge,subtype,Lung Adenocarcinoma Mixed Subtype,10,20,0.6409,0.1542
LUAD,VAECox,age_group,51-65,10,38,0.6299,0.0433
LUAD,VAECox,age_group,>65,10,52,0.6259,0.0524
LUAD,VAECox,age_group,<=50,3,11,0.4534,0.0636
LUAD,VAECox,sex,MALE,10,47,0.6061,0.076
LUAD,VAECox,sex,FEMALE,10,53,0.6218,0.0588
LUAD,VAECox,stage,Early (I-II),10,76,0.6068,0.0606
LUAD,VAECox,stage,Late (III-IV),10,23,0.6111,0.0541
LUAD,VAECox,subtype,Lung Adenocarcinoma- Not Otherwise Specified (NOS),10,63,0.6148,0.0287
LUAD,VAECox,subtype,Lung Adenocarcinoma Mixed Subtype,10,20,0.6653,0.1077
LUSC,CoxRidge,age_group,>65,10,59,0.514,0.0539
LUSC,CoxRidge,age_group,51-65,10,34,0.4753,0.1041
LUSC,CoxRidge,sex,MALE,10,74,0.5068,0.0577
LUSC,CoxRidge,sex,FEMALE,10,24,0.4873,0.0605
LUSC,CoxRidge,stage,Early (I-II),10,78,0.5071,0.0535
LUSC,CoxRidge,stage,Late (III-IV),10,20,0.5087,0.0583
LUSC,CoxRidge,subtype,Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS),10,95,0.5012,0.0429
LUSC,VAECox,age_group,>65,10,59,0.4889,0.0239
LUSC,VAECox,age_group,51-65,10,34,0.5084,0.1011
LUSC,VAECox,sex,MALE,10,74,0.4774,0.0273
LUSC,VAECox,sex,FEMALE,10,24,0.5076,0.0637
LUSC,VAECox,stage,Early (I-II),10,78,0.4882,0.0363
LUSC,VAECox,stage,Late (III-IV),10,20,0.4959,0.0674
LUSC,VAECox,subtype,Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS),10,95,0.4891,0.0195
OV,CoxRidge,age_group,51-65,10,27,0.5269,0.098
OV,CoxRidge,age_group,>65,10,18,0.5711,0.0643
OV,CoxRidge,age_group,<=50,10,15,0.6639,0.1053
OV,CoxRidge,sex,FEMALE,10,61,0.5803,0.0354
OV,CoxRidge,stage,Late (III-IV),10,56,0.5727,0.0453
OV,CoxRidge,subtype,Serous Cystadenocarcinoma,10,61,0.5803,0.0354
OV,VAECox,age_group,51-65,10,27,0.5149,0.0908
OV,VAECox,age_group,>65,10,18,0.6148,0.0942
OV,VAECox,age_group,<=50,10,15,0.7061,0.1427
OV,VAECox,sex,FEMALE,10,61,0.5948,0.0473
OV,VAECox,stage,Late (III-IV),10,56,0.589,0.0555
OV,VAECox,subtype,Serous Cystadenocarcinoma,10,61,0.5948,0.0473
