cancer,n,n_events,vaecox_cindex
BLCA,403,177,0.6547
BRCA,1080,151,0.6932
HNSC,517,220,0.6143
KIRC,531,175,0.7273
LGG,511,125,0.8216
LIHC,365,130,0.7267
LUAD,502,182,0.6436
LUSC,494,212,0.487
OV,303,182,0.5948
STAD,388,156,0.5158
